Size,iso7089:d1,iso7089:d2,iso7089:h,iso7091:d1,iso7091:d2,iso7091:h,iso7093:d1,iso7093:d2,iso7093:h,iso7094:d1,iso7094:d2,iso7094:h,gb97.1:d1,gb97.1:d2,gb97.1:h,din125a:d1,din125a:d2,din125a:h,jisb1256:d1,jisb1256:d2,jisb1256:h,ansib18.22.1:d1,ansib18.22.1:d2,ansib18.22.1:h
M1.6,1.7,4,0.35,1.8,4,0.4,,,,,,,,,,,,,,,,,,
M1.7,1.8,4.5,0.35,,,,,,,,,,,,,,,,,,,,,
M2,2.2,5,0.35,2.4,5,0.4,,,,,,,2.2,5,0.3,2.2,5,0.3,2.2,5,0.3,,,
M2.3,2.5,6,0.55,,,,,,,,,,,,,,,,,,,,,
M2.5,2.7,6,0.55,2.9,6,0.6,2.7,8,0.9,,,,2.7,6,0.5,2.7,6,0.5,2.7,6,0.5,,,
M2.6,2.8,7,0.55,,,,,,,,,,,,,,,,,,,,,
M3,3.2,7,0.55,3.4,7,0.6,3.2,9,0.9,,,,3.2,7,0.5,3.2,7,0.5,3.2,7,0.5,,,
M3.5,3.7,8,0.55,,,,3.7,11,0.9,,,,,,,,,,,,,,,
M4,4.3,9,0.9,4.5,9,1,4.3,12,1.1,,,,4.3,9,0.8,4.3,9,0.8,4.3,9,0.8,,,
M5,5.3,10,1.1,5.5,10,1.2,5.3,15,1.4,5.5,18,2.3,5.3,10,1,5.3,10,1,5.3,10,1,,,
M6,6.4,12,1.8,6.6,12,1.9,6.4,18,1.8,6.6,22,2.3,6.4,12,1.6,6.4,12,1.6,6.4,12,1.6,,,
M7,7.4,14,1.8,,,,7.4,22,2.2,,,,8.4,16,1.6,8.4,16,1.6,8.4,16,1.6,,,
M8,8.4,16,1.8,9,16,1.9,8.4,24,2.2,9,28,3.6,10.5,20,2,10.5,20,2,10.5,20,2,,,
M10,10.5,20,2.2,11,20,2.3,10.5,30,2.7,11,34,3.6,13,24,2.5,13,24,2.5,13,24,2.5,,,
M12,13,24,2.7,13.5,24,2.8,13,37,3.3,13.5,44,4.6,15,28,2.5,15,28,2.5,15,28,2.5,,,
M14,15,28,2.7,,,,15,44,3.3,,,,17,30,3,17,30,3,17,30,3,,,
M16,17,30,3.3,17.5,30,3.6,17,50,3.3,17.5,56,6,19,34,3,19,34,3,19,34,3,,,
M18,19,34,3.3,,,,20,56,4.6,,,,21,37,3,21,37,3,21,37,3,,,
M20,21,37,3.3,22,37,3.6,22,60,4.6,22,72,7,23,39,3,23,39,3,23,39,3,,,
M22,23,39,3.3,,,,,,,,,,25,44,4,25,44,4,25,44,4,,,
M24,25,44,4.3,26,44,4.6,26,72,6,26,85,7,,,,,,,,,,,,
M26,27,50,4.3,,,,,,,,,,,,,,,,,,,,,
M27,28,50,4.3,,,,,,,,,,28,50,4,28,50,4,28,50,4,,,
M28,29,50,4.3,,,,,,,,,,,,,,,,,,,,,
M30,31,56,4.3,33,56,4.6,33,92,7,33,105,7,31,56,4,31,56,4,31,56,4,,,
M32,33,60,5.6,,,,,,,,,,,,,,,,,,,,,
M33,34,60,5.6,,,,,,,,,,,,,,,,,,,,,
M35,36,66,5.6,,,,,,,,,,,,,,,,,,,,,
M36,37,66,5.6,39,66,6,39,110,9.2,39,125,9.2,37,66,5,37,66,5,37,66,5,,,
M42,,,,45,78,9.2,,,,,,,43,78,7,43,78,7,43,78,7,,,
M48,,,,52,92,9.2,,,,,,,50,92,8,50,92,8,50,92,8,,,
M56,,,,62,105,11.2,,,,,,,,,,,,,,,,,,
M64,,,,70,115,11.2,,,,,,,,,,,,,,,,,,
1/4,,,,,,,,,,,,,,,,,,,,,,6.86,14.29,1.52
5/16,,,,,,,,,,,,,,,,,,,,,,8.64,17.46,1.98
3/8,,,,,,,,,,,,,,,,,,,,,,10.41,20.64,1.98
7/16,,,,,,,,,,,,,,,,,,,,,,12.19,25.40,2.39
1/2,,,,,,,,,,,,,,,,,,,,,,13.97,28.58,2.77
5/8,,,,,,,,,,,,,,,,,,,,,,17.53,34.93,3.18
3/4,,,,,,,,,,,,,,,,,,,,,,20.83,44.45,3.96
7/8,,,,,,,,,,,,,,,,,,,,,,24.13,50.80,4.37
1,,,,,,,,,,,,,,,,,,,,,,27.43,57.15,4.78
