Size,iso7045:dk,iso7045:k,iso7045:rf,iso7045:recess,iso7045:short,iso7045:long,iso7048:dk,iso7048:k,iso7048:recess,iso7048:short,iso7048:long,gb822:dk,gb822:k,gb822:recess,gb822:short,gb822:long
M1.6-0.35,3.2,1.3,2.5,PH0,3,16,,,,,,,,,,
M2-0.4,4,1.6,3.2,PH0,3,20,3.8,1.3,PH1,3,20,3.8,1.3,PH1,3,20
M2.5-0.45,5,2.1,4,PH1,3,25,4.5,1.6,PH1,4,25,4.5,1.6,PH1,4,25
M3-0.5,5.6,2.4,5,PH1,4,30,5.5,2.0,PH1,4,30,5.5,2.0,PH1,4,30
M3.5-0.6,7,2.6,6,PH2,5,35,,,,,,,,,,
M4-0.7,8,3.1,6.5,PH2,5,40,7.0,2.6,PH2,5,40,7.0,2.6,PH2,5,40
M5-0.8,9.5,3.7,8,PH2,6,45,8.5,3.3,PH2,6,50,8.5,3.3,PH2,6,50
M6-1,12,4.6,10,PH3,8,60,10.0,3.9,PH3,8,60,10.0,3.9,PH3,8,60
M8-1.25,16,6,13,PH4,10,60,13.0,5.0,PH4,10,80,13.0,5.0,PH4,10,80
M10-1.5,20,7.5,16,PH4,12,60,,,,,,,,,,
