Size,iso4026:s,iso4026:t,iso4026:short,iso4026:long,gb77:s,gb77:t,gb77:short,gb77:long,din913:s,din913:t,din913:short,din913:long,jisb1177:s,jisb1177:t,jisb1177:short,jisb1177:long
M1.4-0.3,0.7,1.4,2.5,6,,,,,,,,,,,,
M1.6-0.35,0.7,1.5,2.5,6,,,,,,,,,,,,
M1.8-0.35,0.7,1.6,2.5,6,,,,,,,,,,,,
M2-0.4,0.9,1.7,3,10,0.9,1.7,3,10,0.9,1.7,3,10,0.9,1.7,3,10
M2.5-0.45,1.3,2,3,10,1.3,2,3,10,1.3,2,3,10,1.3,2,3,10
M3-0.5,1.5,2,3,20,1.5,2,3,20,1.5,2,3,20,1.5,2,3,20
M4-0.7,2,2.5,4,20,2,2.5,4,20,2,2.5,4,20,2,2.5,4,20
M5-0.8,2.5,3,5,25,2.5,3,5,25,2.5,3,5,25,2.5,3,5,25
M6-1,3,3.5,6,35,3,3.5,6,35,3,3.5,6,35,3,3.5,6,35
M8-1.25,4,5,8,40,4,5,8,40,4,5,8,40,4,5,8,40
M10-1.5,5,6,10,40,5,6,10,40,5,6,10,40,5,6,10,40
M12-1.75,6,8,16,40,6,8,16,40,6,8,16,40,6,8,16,40
M16-2,8,10,20,40,8,10,20,40,8,10,20,40,8,10,20,40
M20-2.5,10,12,20,50,10,12,20,50,10,12,20,50,10,12,20,50
M24-3,12,15,25,60,12,15,25,60,12,15,25,60,12,15,25,60
