Size,iso7090:d1,iso7090:d2,iso7090:h,iso7091:d1,iso7091:d2,iso7091:h,gb93:d1,gb93:d2,gb93:h,din127:d1,din127:d2,din127:h,din7980:d1,din7980:d2,din7980:h
M2,2.1,4.4,0.5,2.1,4.4,0.5,2.1,4.4,0.5,2.1,4.4,0.5,2.1,4.4,0.5
M2.5,2.6,5.1,0.6,2.6,5.1,0.6,2.6,5.1,0.6,2.6,5.1,0.6,2.6,5.1,0.6
M3,3.1,6.2,0.8,3.1,6.2,0.8,3.1,6.2,0.8,3.1,6.2,0.8,3.1,6.2,0.8
M4,4.1,7.6,0.9,4.1,7.6,0.9,4.1,7.6,0.9,4.1,7.6,0.9,4.1,7.6,0.9
M5,5.1,9.2,1.2,5.1,9.2,1.2,5.1,9.2,1.2,5.1,9.2,1.2,5.1,9.2,1.2
M6,6.1,11.8,1.6,6.1,11.8,1.6,6.1,11.8,1.6,6.1,11.8,1.6,6.1,11.8,1.6
M8,8.2,14.8,2,8.2,14.8,2,8.2,14.8,2,8.2,14.8,2,8.2,14.8,2
M10,10.2,18.1,2.2,10.2,18.1,2.2,10.2,18.1,2.2,10.2,18.1,2.2,10.2,18.1,2.2
M12,12.2,21.1,2.5,12.2,21.1,2.5,12.2,21.1,2.5,12.2,21.1,2.5,12.2,21.1,2.5
M14,14.2,24.1,3,14.2,24.1,3,14.2,24.1,3,14.2,24.1,3,14.2,24.1,3
M16,16.2,27.4,3.5,16.2,27.4,3.5,16.2,27.4,3.5,16.2,27.4,3.5,16.2,27.4,3.5
M18,18.2,29.4,3.5,18.2,29.4,3.5,18.2,29.4,3.5,18.2,29.4,3.5,18.2,29.4,3.5
M20,20.2,33.6,4,20.2,33.6,4,20.2,33.6,4,20.2,33.6,4,20.2,33.6,4
M22,22.5,35.9,4,22.5,35.9,4,22.5,35.9,4,22.5,35.9,4,22.5,35.9,4
M24,24.5,40.0,5,24.5,40.0,5,24.5,40.0,5,24.5,40.0,5,24.5,40.0,5
M27,27.5,43.0,5,27.5,43.0,5,27.5,43.0,5,27.5,43.0,5,27.5,43.0,5
M30,30.5,48.2,6,30.5,48.2,6,30.5,48.2,6,30.5,48.2,6,30.5,48.2,6
M36,36.5,56.2,6,36.5,56.2,6,36.5,56.2,6,36.5,56.2,6,36.5,56.2,6
