Size,gb70.3:dk,gb70.3:k,gb70.3:s,gb70.3:t,gb70.3:short,gb70.3:long,din7991:dk,din7991:k,din7991:s,din7991:t,din7991:short,din7991:long
M3-0.5,6.72,1.86,2,1.2,5,30,6.72,1.86,2,1.2,5,30
M4-0.7,8.96,2.48,2.5,1.8,6,40,8.96,2.48,2.5,1.8,6,40
M5-0.8,11.2,3.1,3,2.3,8,50,11.2,3.1,3,2.3,8,50
M6-1,13.44,3.72,4,2.5,10,60,13.44,3.72,4,2.5,10,60
M8-1.25,17.92,4.96,5,3.5,12,80,17.92,4.96,5,3.5,12,80
M10-1.5,22.4,6.2,6,4.4,16,100,22.4,6.2,6,4.4,16,100
M12-1.75,26.88,7.44,8,4.6,20,120,26.88,7.44,8,4.6,20,120
M14-2,30.8,8.4,10,5.3,25,140,30.8,8.4,10,5.3,25,140
M16-2,33.6,8.8,10,5.3,25,160,33.6,8.8,10,5.3,25,160
M20-2.5,40.32,10.16,12,6.6,30,200,40.32,10.16,12,6.6,30,200
