Size,gb5782:k,gb5782:s,gb5782:short,gb5782:long,gb5783:k,gb5783:s,gb5783:short,gb5783:long,din933:k,din933:s,din933:short,din933:long,jisb1180:k,jisb1180:s,jisb1180:short,jisb1180:long,ansib18.2.1:k,ansib18.2.1:s,ansib18.2.1:short,ansib18.2.1:long
M3-0.5,2.0,5.5,20,30,2.0,5.5,5,30,2.0,5.5,5,30,2.0,5.5,20,30,,,,
M4-0.7,2.8,7,25,40,2.8,7,6,40,2.8,7,6,40,2.8,7,25,40,,,,
M5-0.8,3.5,8,25,50,3.5,8,8,50,3.5,8,8,50,3.5,8,25,50,,,,
M6-1,4.0,10,30,60,4.0,10,12,60,4.0,10,12,60,4.0,10,30,60,,,,
M8-1.25,5.3,13,40,80,5.3,13,16,80,5.3,13,16,80,5.3,13,40,80,,,,
M10-1.5,6.4,17,45,100,6.4,16,20,100,6.4,17,20,100,6.4,17,45,100,,,,
M12-1.75,7.5,19,50,120,7.5,18,25,120,7.5,19,25,120,7.5,19,50,120,,,,
M14-2,8.8,22,60,140,8.8,21,25,140,8.8,22,25,140,8.8,22,60,140,,,,
M16-2,10.0,24,65,160,10.0,24,30,160,10.0,24,30,160,10.0,24,65,160,,,,
M18-2.5,11.5,27,70,180,11.5,27,35,180,11.5,27,35,200,11.5,27,70,180,,,,
M20-2.5,12.5,30,80,200,12.5,30,40,200,12.5,30,40,200,12.5,30,80,200,,,,
M22-2.5,14.0,34,90,220,14.0,34,45,220,14.0,34,45,220,14.0,34,90,220,,,,
M24-3,15.0,36,90,240,15.0,36,50,240,15.0,36,50,240,15.0,36,90,240,,,,
M27-3,17.0,41,100,260,17.0,41,50,300,17.0,41,50,300,17.0,41,100,260,,,,
M30-3.5,18.7,46,110,300,18.7,46,60,300,18.7,46,60,300,18.7,46,110,300,,,,
M36-4,22.5,55,140,360,22.5,55,70,360,22.5,55,70,360,22.5,55,140,360,,,,
M42-4.5,26.0,65,160,440,26.0,65,70,440,26.0,65,70,440,26.0,65,160,440,,,,
M48-5,30.0,75,190,480,30.0,75,100,480,30.0,75,100,480,30.0,75,190,480,,,,
1/4-20,,,,,,,,,,,,,,,,4.17,11.11,6.35,152.4,
5/16-18,,,,,,,,,,,,,,,,5.33,12.70,9.53,152.4,
3/8-16,,,,,,,,,,,,,,,,6.35,14.29,9.53,152.4,
7/16-14,,,,,,,,,,,,,,,,7.52,15.88,12.70,152.4,
1/2-13,,,,,,,,,,,,,,,,8.73,19.05,12.70,203.2,
5/8-11,,,,,,,,,,,,,,,,10.72,23.81,19.05,228.6,
3/4-10,,,,,,,,,,,,,,,,12.70,28.58,19.05,254.0,
7/8-9,,,,,,,,,,,,,,,,14.29,33.34,25.40,279.4,
1-8,,,,,,,,,,,,,,,,16.66,38.10,25.40,304.8,
