Size,iso4032:m,iso4032:s,iso4033:m,iso4033:s,iso4035:m,iso4035:s,gb6170:m,gb6170:s,gb6172:m,gb6172:s,din934:m,din934:s,din439:m,din439:s,jisb1181:m,jisb1181:s,ansib18.2.2:m,ansib18.2.2:s
M1.6-0.35,1.3,3.2,,,1,3.2,1.3,3.2,1.0,3.2,1.3,3.2,1.0,3.2,1.3,3.2,,
M2-0.4,1.6,4,,,1.2,4,1.6,4,1.2,4,1.6,4,1.2,4,1.6,4,,
M2.5-0.45,2,5,,,1.6,5,2.0,5,1.6,5,2.0,5,1.6,5,2.0,5,,
M3-0.5,2.4,5.5,,,,,,5.5,,5.5,2.4,5.5,1.8,5.5,2.4,5.5,,
M4-0.7,3.2,7,,,2.2,7,3.2,7,2.2,7,3.2,7,2.2,7,3.2,7,,
M5-0.8,4.7,8,5.1,8,2.7,8,4.7,8,2.7,8,4.7,8,2.7,8,4.7,8,,
M6-1,5.2,10,5.7,10,3.2,10,5.2,10,3.2,10,5.2,10,3.2,10,5.2,10,,
M8-1.25,6.8,13,7.5,13,4,13,6.8,13,4.0,13,6.8,13,4.0,13,6.8,13,,
M10-1.5,8.4,16,9.3,16,5,17,8.4,16,5.0,17,8.4,16,5.0,17,8.4,16,,
M12-1.75,10.8,18,12,18,6,19,10.8,18,6.0,19,10.8,18,6.0,19,10.8,18,,
M14-2,12.8,21,14.1,21,7,22,12.8,21,7.0,22,12.8,21,7.0,22,12.8,21,,
M16-2,14.8,24,16.4,24,8,24,14.8,24,8.0,24,14.8,24,8.0,24,14.8,24,,
M18-2.5,15.8,27,,,9,27,15.8,27,9.0,27,15.8,27,9.0,27,15.8,27,,
M20-2.5,18,30,20.3,30,10,30,18.0,30,10.0,30,18.0,30,10.0,30,18.0,30,,
M22-2.5,19.4,34,,,11,32,19.4,34,11.0,32,19.4,34,11.0,34,19.4,34,,
M24-3,21.5,36,23.9,36,12,36,21.5,36,12.0,36,21.5,36,12.0,36,21.5,36,,
M27-3,23.8,41,,,13.5,41,23.8,41,13.5,41,23.8,41,13.5,41,23.8,41,,
M30-3.5,25.6,46,28.6,46,15,46,25.6,46,15.0,46,25.6,46,15.0,46,25.6,46,,
M36-4,31,55,34.7,55,18,55,31.0,55,18.0,55,31.0,55,18.0,55,31.0,55,,
M42-4.5,34,65,,,21,65,34.0,65,21.0,65,34.0,65,21.0,65,34.0,65,,
M48-5,38,75,,,24,75,38.0,75,24.0,75,38.0,75,24.0,75,38.0,75,,
1/4-20,,,,,,,,,,,,,,,,7.04,11.11
5/16-18,,,,,,,,,,,,,,,,8.64,12.70
3/8-16,,,,,,,,,,,,,,,,10.24,14.29
7/16-14,,,,,,,,,,,,,,,,11.84,15.88
1/2-13,,,,,,,,,,,,,,,,12.80,19.05
5/8-11,,,,,,,,,,,,,,,,16.0,23.81
3/4-10,,,,,,,,,,,,,,,,19.2,28.58
7/8-9,,,,,,,,,,,,,,,,22.4,33.34
1-8,,,,,,,,,,,,,,,,25.6,38.10
