Size,gb861.1:d1,gb861.1:d2,gb861.1:h,gb861.1:n,asmeb18.21.1:d1,asmeb18.21.1:d2,asmeb18.21.1:h,asmeb18.21.1:n
M2,2.2,4.5,0.3,6,,,,
M2.5,2.7,5.5,0.3,6,,,,
M3,3.2,6,0.4,6,,,,
M3.5,3.7,7,0.4,6,,,,
M4,4.3,8,0.5,8,,,,
M5,5.3,10,0.6,8,,,,
M6,6.4,11,0.7,8,,,,
M7,7.4,12.5,0.8,8,,,,
M8,8.4,15,0.8,8,,,,
M10,10.5,18,0.9,9,,,,
M12,13,20.5,1,10,,,,
M14,15,24,1,10,,,,
M16,17,26,1.2,12,,,,
M18,19,30,1.4,12,,,,
M20,21,33,1.4,12,,,,
#2,,,,,0.089,0.2,0.013,6
#3,,,,,0.109,0.232,0.013,6
#4,,,,,0.115,0.27,0.015,6
#6,,,,,0.141,0.295,0.019,6
1/4,,,,,0.256,0.478,0.026,8
5/16,,,,,0.32,0.607,0.031,10
3/8,,,,,0.384,0.692,0.036,10
1/2,,,,,0.512,0.883,0.041,12
