Size,iso7093:d1,iso7093:d2,iso7093:h,gb96.1:d1,gb96.1:d2,gb96.1:h,din9021:d1,din9021:d2,din9021:h
M3,3.2,9,0.8,3.2,9,0.8,3.2,9,0.8
M4,4.3,12,1,4.3,12,1,4.3,12,1
M5,5.3,15,1.2,5.3,15,1.2,5.3,15,1.2
M6,6.4,18,1.6,6.4,18,1.6,6.4,18,1.6
M8,8.4,24,2,8.4,24,2,8.4,24,2
M10,10.5,30,2.5,10.5,30,2.5,10.5,30,2.5
M12,13,37,3,13,37,3,13,37,3
M14,15,44,3,15,44,3,15,44,3
M16,17,50,3,17,50,3,17,50,3
M18,19,56,4,19,56,4,19,56,4
M20,21,60,4,21,60,4,21,60,4
M22,23,66,5,23,66,5,23,66,5
M24,25,72,5,25,72,5,25,72,5
M27,28,85,6,28,85,6,28,85,6
M30,31,92,6,31,92,6,31,92,6
M36,37,110,8,37,110,8,37,110,8
