Size,iso7089:d1,iso7089:d2,iso7089:h,gb97.1:d1,gb97.1:d2,gb97.1:h,din125a:d1,din125a:d2,din125a:h,jisb1256:d1,jisb1256:d2,jisb1256:h,ansib18.22.1:d1,ansib18.22.1:d2,ansib18.22.1:h
M2,2.2,5,0.3,2.2,5,0.3,2.2,5,0.3,2.2,5,0.3,,,
M2.5,2.7,6,0.5,2.7,6,0.5,2.7,6,0.5,2.7,6,0.5,,,
M3,3.2,7,0.5,3.2,7,0.5,3.2,7,0.5,3.2,7,0.5,,,
M4,4.3,9,0.8,4.3,9,0.8,4.3,9,0.8,4.3,9,0.8,,,
M5,5.3,10,1,5.3,10,1,5.3,10,1,5.3,10,1,,,
M6,6.4,12,1.6,6.4,12,1.6,6.4,12,1.6,6.4,12,1.6,,,
M8,8.4,16,1.6,8.4,16,1.6,8.4,16,1.6,8.4,16,1.6,,,
M10,10.5,20,2,10.5,20,2,10.5,20,2,10.5,20,2,,,
M12,13,24,2.5,13,24,2.5,13,24,2.5,13,24,2.5,,,
M14,15,28,2.5,15,28,2.5,15,28,2.5,15,28,2.5,,,
M16,17,30,3,17,30,3,17,30,3,17,30,3,,,
M18,19,34,3,19,34,3,19,34,3,19,34,3,,,
M20,21,37,3,21,37,3,21,37,3,21,37,3,,,
M22,23,39,3,23,39,3,23,39,3,23,39,3,,,
M24,25,44,4,25,44,4,25,44,4,25,44,4,,,
M27,28,50,4,28,50,4,28,50,4,28,50,4,,,
M30,31,56,4,31,56,4,31,56,4,31,56,4,,,
M36,37,66,5,37,66,5,37,66,5,37,66,5,,,
M42,43,78,7,43,78,7,43,78,7,43,78,7,,,
M48,50,92,8,50,92,8,50,92,8,50,92,8,,,
1/4,,,,,,,,,,,,,6.86,14.29,1.52
5/16,,,,,,,,,,,,,8.64,17.46,1.98
3/8,,,,,,,,,,,,,10.41,20.64,1.98
7/16,,,,,,,,,,,,,12.19,25.40,2.39
1/2,,,,,,,,,,,,,13.97,28.58,2.77
5/8,,,,,,,,,,,,,17.53,34.93,3.18
3/4,,,,,,,,,,,,,20.83,44.45,3.96
7/8,,,,,,,,,,,,,24.13,50.80,4.37
1,,,,,,,,,,,,,27.43,57.15,4.78
