Size,iso7092:d1,iso7092:d2,iso7092:h,gb848:d1,gb848:d2,gb848:h,din433:d1,din433:d2,din433:h
M1.6,1.7,3.5,0.3,1.7,3.5,0.3,1.7,3.5,0.3
M2,2.2,4.5,0.3,2.2,4.5,0.3,2.2,4.5,0.3
M2.5,2.7,5,0.5,2.7,5,0.5,2.7,5,0.5
M3,3.2,6,0.5,3.2,6,0.5,3.2,6,0.5
M4,4.3,8,0.5,4.3,8,0.5,4.3,8,0.5
M5,5.3,9,1,5.3,9,1,5.3,9,1
M6,6.4,11,1.6,6.4,11,1.6,6.4,11,1.6
M8,8.4,15,1.6,8.4,15,1.6,8.4,15,1.6
M10,10.5,18,1.6,10.5,18,1.6,10.5,18,1.6
M12,13,20,2,13,20,2,13,20,2
M14,15,24,2.5,15,24,2.5,15,24,2.5
M16,17,28,2.5,17,28,2.5,17,28,2.5
M18,19,30,2.5,19,30,2.5,19,30,2.5
M20,21,33,3,21,33,3,21,33,3
