Size,iso4762:dk,iso4762:k,iso4762:s,iso4762:t,iso4762:short,iso4762:long,gb70.1:dk,gb70.1:k,gb70.1:s,gb70.1:t,gb70.1:short,gb70.1:long,din912:dk,din912:k,din912:s,din912:t,din912:short,din912:long,jisb1176:dk,jisb1176:k,jisb1176:s,jisb1176:t,jisb1176:short,jisb1176:long,asmeb18.3:dk,asmeb18.3:k,asmeb18.3:s,asmeb18.3:t,asmeb18.3:short,asmeb18.3:long
M2-0.4,3.98,2,1.5,1,3,20,3.98,2,1.5,1,3,20,3.98,2,1.5,1,3,20,3.98,2,1.5,1,3,20,,,,,,
M2.5-0.45,4.68,2.5,2,1.1,4,25,4.68,2.5,2,1.1,4,25,4.68,2.5,2,1.1,4,25,4.68,2.5,2,1.1,4,25,,,,,,
M3-0.5,5.68,3,2.5,1.3,5,30,5.68,3,2.5,1.3,5,30,5.68,3,2.5,1.3,5,30,5.68,3,2.5,1.3,5,30,,,,,,
M4-0.7,7.22,4,3,2,6,40,7.22,4,3,2,6,40,7.22,4,3,2,6,40,7.22,4,3,2,6,40,,,,,,
M5-0.8,8.72,5,4,2.5,8,50,8.72,5,4,2.5,8,50,8.72,5,4,2.5,8,50,8.72,5,4,2.5,8,50,,,,,,
M6-1,10.22,6,5,3,8,60,10.22,6,5,3,8,60,10.22,6,5,3,8,60,10.22,6,5,3,8,60,,,,,,
M8-1.25,13.27,8,6,4,10,80,13.27,8,6,4,10,80,13.27,8,6,4,10,80,13.27,8,6,4,10,80,,,,,,
M10-1.5,16.27,10,8,5,16,100,16.27,10,8,5,16,100,16.27,10,8,5,16,100,16.27,10,8,5,16,100,,,,,,
M12-1.75,18.27,12,10,6,20,120,18.27,12,10,6,20,120,18.27,12,10,6,20,120,18.27,12,10,6,20,120,,,,,,
M14-2,21.33,14,12,7,25,140,21.33,14,12,7,25,140,21.33,14,12,7,25,140,21.33,14,12,7,25,140,,,,,,
M16-2,24.33,16,14,8,25,160,24.33,16,14,8,25,160,24.33,16,14,8,25,160,24.33,16,14,8,25,160,,,,,,
M20-2.5,30.33,20,17,10,30,200,30.33,20,17,10,30,200,30.33,20,17,10,30,200,30.33,20,17,10,30,200,,,,,,
M24-3,36.39,24,19,12,40,200,36.39,24,19,12,40,200,36.39,24,19,12,40,200,36.39,24,19,12,40,200,,,,,,
M30-3.5,45.39,30,22,15.5,45,200,45.39,30,22,15.5,45,200,45.39,30,22,15.5,45,200,45.39,30,22,15.5,45,200,,,,,,
M36-4,54.46,36,27,19,55,200,54.46,36,27,19,55,200,54.46,36,27,19,55,200,54.46,36,27,19,55,200,,,,,,
M42-4.5,63.46,42,32,24,60,300,63.46,42,32,24,60,300,63.46,42,32,24,60,300,63.46,42,32,24,60,300,,,,,,
M48-5,72.46,48,36,28,100,300,72.46,48,36,28,100,300,72.46,48,36,28,100,300,72.46,48,36,28,100,300,,,,,,
#0-80,,,,,,,,,,,,,,,,,,,,,,,,0.096,0.060,0.050,0.025,0.75,1.25
#1-64,,,,,,,,,,,,,,,,,,,,,,,,0.118,0.073,0.0625,0.031,0.88,1.50
#2-56,,,,,,,,,,,,,,,,,,,,,,,,0.140,0.086,0.078,0.038,0.88,1.75
#3-48,,,,,,,,,,,,,,,,,,,,,,,,0.161,0.099,0.078,0.044,0.88,2.00
#4-40,,,,,,,,,,,,,,,,,,,,,,,,0.183,0.112,0.094,0.051,1.00,2.25
#5-40,,,,,,,,,,,,,,,,,,,,,,,,0.205,0.125,0.094,0.057,1.00,2.50
#6-32,,,,,,,,,,,,,,,,,,,,,,,,0.226,0.138,0.109,0.064,1.25,2.75
#8-32,,,,,,,,,,,,,,,,,,,,,,,,0.270,0.164,0.141,0.077,1.25,3.25
#10-24,,,,,,,,,,,,,,,,,,,,,,,,0.312,0.190,0.156,0.090,1.25,4.00
1/4-20,,,,,,,,,,,,,,,,,,,,,,,,0.375,0.250,0.188,0.120,1.50,5.00
5/16-18,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.313,0.250,0.151,1.75,6.25
3/8-16,,,,,,,,,,,,,,,,,,,,,,,,0.562,0.375,0.313,0.182,1.75,7.50
1/2-13,,,,,,,,,,,,,,,,,,,,,,,,0.750,0.500,0.375,0.245,2.25,10.00
5/8-11,,,,,,,,,,,,,,,,,,,,,,,,0.938,0.625,0.500,0.307,2.50,12.00
3/4-10,,,,,,,,,,,,,,,,,,,,,,,,1.125,0.750,0.625,0.370,3.00,15.00
1-8,,,,,,,,,,,,,,,,,,,,,,,,1.500,1.000,0.750,0.495,3.50,20.00
